Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss,,
68,80,49.45921475,48.45921475,3.019625967,1.902605611,69.85915244,72.60915244,3.031166206,0.64911309,1,1,0,0,,
69,10,48.04435855,47.54435855,3.119064511,0.930628164,69.36216235,72.02882902,2.707661626,1.111897866,0,0,0,0,,
70,80,48.75299839,48.58633172,2.505177917,1.72591,70.84686144,73.09686144,2.910685445,0.594729402,1,1,1,0,,
71,80,49.36958932,48.20292266,2.910989462,0.930234211,70.6015116,73.01817826,2.342182793,0.358542716,1,0,1,0,,
72,80,49.20671823,48.45671823,3.079964215,1.976703186,70.74595856,72.74595856,2.195851399,0.870378412,1,1,0,0,,
73,80,49.6567175,48.24005084,2.323112617,1.118222316,70.46200611,72.62867278,3.015082051,1.112896856,1,0,0,0,,
74,80,49.7974665,48.46413317,2.764788691,1.943975153,70.91830418,72.41830418,3.051810707,1.852359544,1,1,0,1,,
75,9,50.35770547,47.94103881,3.069088781,0.740898324,71.11444606,72.78111273,2.423872603,0.642545281,0,0,0,0,,
76,80,50.90283035,48.48616368,3.833415957,1.869955737,68.70545769,72.95545769,2.526673027,0.570760704,1,1,0,0,,
77,80,49.32241394,48.07241394,2.800496393,1.252230386,68.03562493,72.53562493,2.487409954,1.419278906,1,0,0,0,,
78,80,50.71516441,48.21516441,2.528076986,1.176239831,70.29100889,72.87434223,2.308622288,0.601528407,1,0,0,0,,
79,80,49.91889509,48.25222843,2.715797632,1.122834273,69.7913149,73.20798157,3.406646012,0.51169822,1,0,1,0,,
80,7,48.32825171,47.99491838,3.335694799,1.470605753,69.02734782,72.02734782,2.891785582,0.822741811,0,0,0,0,,
81,80,50.89291129,48.22624462,2.792556602,1.223861549,71.45479271,72.53812604,2.302149157,1.053118757,1,0,0,0,,
82,7,49.83442083,47.7510875,2.729920422,0.799191882,69.87568962,72.12568962,2.853478801,1.471139296,0,0,0,0,,
83,80,50.10302576,48.60302576,3.248894306,1.807469797,69.65379576,72.82046243,3.129275962,0.511122916,1,1,0,0,,
84,80,49.89879434,48.39879434,2.746374559,1.731285699,68.70874271,72.29207604,2.359281901,2.144085089,1,1,0,1,,
85,80,51.32400546,47.82400546,2.147382155,0.611100586,70.84260889,72.42594222,3.110479433,2.026073936,0,0,0,1,,
86,80,49.81575266,48.39908599,2.741758449,1.944329773,69.71233945,72.54567279,3.06021475,1.833662861,1,1,0,1,,
87,80,49.53845009,48.12178342,2.88342887,0.767543131,70.35099575,72.43432908,2.393888386,1.626981757,1,0,0,1,,
88,9,51.27617957,47.94284623,3.11009761,0.867994213,68.65429475,72.15429475,2.50666803,1.445581392,0,0,0,0,,
89,20,50.46749435,47.55082768,2.890171589,0.512960628,69.64402237,72.14402237,2.922269754,1.428921901,0,0,0,0,,
90,11,50.46768244,47.96768244,2.758948788,0.625008381,69.42942771,72.76276104,2.806111724,0.773234344,0,0,0,0,,
91,80,50.08515159,48.33515159,2.457815666,1.207490894,69.38873352,72.38873352,2.161516044,1.388438387,1,0,0,0,,
92,80,49.58914372,48.17247705,2.198648835,0.95068662,69.92912847,72.92912847,3.287029008,0.575350894,1,0,0,0,,
93,80,48.53783803,48.28783803,2.277965749,1.890979822,70.44278132,72.44278132,2.979778639,1.321908762,1,1,0,0,,
94,80,50.64037914,48.14037914,2.802051733,1.382769342,71.00711674,72.75711674,2.472887389,1.196904256,1,0,0,0,,
95,80,50.23696315,48.57029648,3.192310548,1.877662963,72.34740493,73.09740493,1.377094353,0.422458369,1,1,1,0,,
96,20,50.78134168,47.69800835,2.713374163,0.595638231,70.17159546,72.08826212,2.738752041,1.478963998,0,0,0,0,,
97,80,48.88813002,47.97146336,3.315719628,0.305023945,71.60993628,72.52660294,2.571121298,1.927312238,0,0,0,1,,
98,10,49.77780729,47.94447396,2.690780945,1.365221151,70.86092464,72.36092464,2.604145748,1.470540907,0,0,0,0,,
99,80,48.49723644,47.6639031,2.526511125,0.843143832,70.25345515,72.50345515,2.447535171,1.769322473,0,0,0,1,,
100,21,48.53849745,47.78849745,2.967221205,0.451050658,69.13813366,72.30480032,3.013945299,1.379458063,0,0,0,0,0,62
0,62,,,,,,,,,,,,,,
1,80,49.87847174,48.29513841,3.483436026,1.324076325,71.65680011,72.99013344,3.005623258,0.48271097,1,0,0,0,,
2,23,49.79084172,47.79084172,3.034348734,0.428026384,69.31731194,72.31731194,2.47386948,1.48766647,0,0,0,0,,
3,5,48.57260013,47.73926679,2.579128951,0.948218587,70.04053476,72.04053476,2.318055959,1.402376465,0,0,0,0,,
4,6,49.28959684,47.70626351,2.970634247,0.822323725,69.91818612,72.08485279,2.266591189,1.489515674,0,0,0,0,,
5,80,51.1633062,48.24663953,2.154981042,1.453577134,70.65780989,73.07447656,3.329001394,0.391236018,1,0,1,0,,
6,8,50.01980179,47.93646845,2.824573042,1.04015886,70.65376663,72.3204333,2.707668577,1.198526312,0,0,0,0,,
7,21,51.11281362,47.94614696,2.337429515,0.760943932,69.62052559,72.78719225,2.971664998,1.306763892,0,0,0,0,,
8,8,49.43225018,47.93225018,2.226296581,0.42125,70.16053869,72.66053869,3.060388662,1.142779723,0,0,0,0,,
