Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
36,80,48.6595059488,47.9928392821,1.82216618982,0.713883422557,68.8570086722,71.1903420055,2.69198221842,2.81126684247,0,0,1,1
37,80,50.1665583168,48.3332249834,3.54239018292,1.69610317172,69.6302376689,72.7135710022,2.97922594828,0.749618803123,1,0,0,0
38,80,51.0681208629,48.1514541963,2.20754787795,1.830523198,69.7273713012,71.9773713012,3.11793027076,2.19070541699,1,1,1,1
39,80,50.6020928639,47.9354261972,2.86021956888,0.459530278646,69.0834131864,71.500079853,2.82088684553,2.62226563651,0,0,1,1
40,9,49.5972963261,47.9306296594,3.38713071771,0.686249632187,69.1099404269,72.1099404269,2.44998810619,1.26255960537,0,0,0,0
41,80,48.7143947062,47.9643947062,2.32463634809,0.510120879571,68.8421294375,71.9254627709,2.62581579986,1.08551367284,0,0,1,0
42,20,48.7533136538,47.5033136538,2.44834754204,0.47200059246,69.8465501885,72.5132168552,3.12022151588,1.41348992741,0,0,0,0
43,8,49.5104567279,47.9271233946,2.22513104159,0.817421350365,70.1455048215,72.8955048215,3.3881391459,0.935250631639,0,0,0,0
44,8,49.6076666469,47.9409999802,2.57746807022,0.776591309375,70.3575739523,72.4409072856,3.18363468547,0.862879958195,0,0,0,0
45,80,51.8798469447,48.0465136114,1.51846632429,1.25064390552,68.9789556357,71.6456223024,2.79187495791,2.75535516375,1,0,1,1
46,80,49.098424989,48.098424989,3.08075202292,1.74729997623,69.9125814842,72.5792481509,2.91151524731,1.23710715306,1,1,0,0
47,80,49.9855527507,48.4022194174,2.8653607053,1.93566305903,69.0344635792,72.2844635792,2.58279022152,1.66623407146,1,1,0,1
48,80,49.5140866289,47.6807532955,2.53031255673,0.836564230541,69.2666150605,71.9332817272,2.35640594779,2.17041016922,0,0,1,1
49,80,51.0511022112,48.0511022112,2.157752933,1.33942597752,70.6000719051,72.5167385718,2.55996170113,1.61272074084,1,0,0,1
