Number of Run, Trial Count,Initial Average Hum,Average hum after algorithm, Initial Standard hum deviation,Standard deviation hum after algorithm,Initial Average tem,Average tem after algorithm, Initial Standard tem deviation,Standard deviation tem after algorithm,humAveIss ,humStdIss,temAveIss,temStdIss
75,8,49.8381376356,47.9214709689,3.34069505632,0.896866780349,70.579892034,72.6632253673,2.63166512194,0.666187524932,0,0,0,0
76,101,48.976440903,47.8931075696,3.36731839063,1.1385611495,69.5823163706,71.8323163706,2.87028689441,2.40108334867,0,0,1,1
77,101,48.5831867395,47.5831867395,1.95881917738,0.548124627925,70.1324920919,72.4658254252,2.71780409549,1.92960550775,0,0,0,1
78,5,48.7912347773,47.957901444,2.55335817904,0.993147160774,69.7538402349,72.0038402349,2.74503758122,0.943443048861,0,0,0,0
79,101,50.9180656907,48.001399024,2.72320065217,1.00052130043,70.6211475879,72.5378142546,2.74081048034,1.30809928443,1,0,0,0
80,101,49.5218306529,47.6884973196,2.30280056427,0.482628449605,70.1716334062,71.7549667395,2.23133837498,2.28711825399,0,0,1,1
81,101,50.8716357164,47.4549690497,2.90786730151,0.454702003594,70.9584171329,72.5417504663,2.30015262703,1.64356579104,0,0,0,1
82,8,50.2895193356,47.8728526689,3.01449234304,0.922200211222,68.2661631841,72.0161631841,2.01489859354,1.28252249068,0,0,0,0
83,101,49.3070865479,47.5570865479,3.15437279872,0.420518336269,69.9552029193,71.9552029193,3.39983828708,2.07215833039,0,0,1,1
84,101,48.9720242955,47.6386909621,3.07588445245,0.560085338929,69.6055330899,72.3555330899,3.61712522657,2.21172213032,0,0,0,1
85,101,49.6449771438,47.8116438104,2.77590907953,1.08311351381,69.9407851999,71.9407851999,3.19988061736,2.21988943959,0,0,1,1
86,101,50.6704526447,47.6704526447,2.64132293848,0.483014328479,71.3547489169,72.4380822502,2.35415196461,1.57688761395,0,0,0,1
87,101,50.6035363271,47.8535363271,3.07426042248,0.435381686071,71.1016175963,72.4349509297,2.73315983921,2.03000623416,0,0,0,1
88,101,50.2311828112,48.2311828112,2.90260490356,1.3078660096,70.0592499287,71.892583262,3.14246083611,2.35536748074,1,0,1,1
89,101,49.4996904756,47.9996904756,2.76512599865,1.2484813705,70.4391108188,71.9391108188,2.49831671378,1.66862428303,0,0,1,1
90,101,52.2375949823,48.3209283157,2.26659395584,1.67124172555,69.9212863617,72.9212863617,3.54862119257,0.634483158295,1,0,0,0
91,101,50.2252505342,48.0585838675,3.08975566626,1.68221095705,71.1261290857,72.6261290857,2.867868249,1.56063596834,1,0,0,1
92,101,49.4451889315,47.7785222649,2.38659926671,0.229485248465,71.4019485471,72.4852818804,2.64967939694,2.04942752767,0,0,0,1
93,5,48.6400013092,47.7233346425,2.57492309425,0.744273113207,70.2942151315,72.0442151315,3.02227170136,1.40762362466,0,0,0,0
94,101,49.0778613315,47.5778613315,2.3310767455,0.635186662164,70.6471590048,72.4804923381,2.83891359915,1.97677214004,0,0,0,1
95,101,50.3097712873,47.5597712873,3.75014143423,0.610117191958,68.5336602407,72.2003269074,2.86510468184,1.83466415575,0,0,0,1
96,101,49.4833008873,47.649967554,2.92829565903,0.390313821975,69.6150290364,72.1150290364,3.04535329636,1.96246519036,0,0,0,1
97,10,49.6151653334,47.9484986667,3.14816480865,0.527092419104,69.5754165388,72.1587498722,2.50541276761,1.17111013224,0,0,0,0
98,11,49.4161910417,47.999524375,2.83780488345,0.630096122872,69.7383500785,72.4883500785,2.98501089152,0.918642314421,0,0,0,0
99,101,50.7339077185,47.9839077185,2.94175830553,0.621028382036,71.1152410279,72.4485743612,2.32113369995,1.72113742775,0,0,0,1
100,9,50.5226115646,47.9392782313,3.13764830263,0.683462812947,68.9583270551,72.0416603884,3.2845887518,1.00246438851,0,0,0,0
